PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SRC; NB_SAMPLES_SRC; RANK 
180502 ; 112040 ; 180366 ; 112000 ; 90 
182484 ; 113160 ; 182420 ; 113120 ; 91 
184546 ; 114280 ; 184412 ; 114240 ; 92 
186500 ; 115400 ; 186440 ; 115360 ; 93 
188530 ; 116520 ; 188396 ; 116480 ; 94 
190456 ; 117640 ; 190396 ; 117600 ; 95 
192508 ; 118760 ; 192434 ; 118720 ; 96 
194594 ; 119760 ; 194454 ; 119720 ; 97 
196580 ; 120720 ; 196442 ; 120680 ; 98 
198506 ; 121680 ; 198366 ; 121640 ; 99 
200516 ; 122720 ; 200452 ; 122680 ; 100 
202500 ; 123760 ; 202432 ; 123720 ; 101 
204552 ; 124840 ; 204482 ; 124800 ; 102 
206574 ; 125880 ; 206440 ; 125840 ; 103 
208530 ; 126920 ; 208460 ; 126880 ; 104 
210540 ; 128000 ; 210476 ; 127960 ; 105 
212594 ; 129080 ; 212460 ; 129040 ; 106 
214534 ; 130160 ; 214466 ; 130120 ; 107 
216660 ; 131320 ; 216516 ; 131280 ; 108 
218562 ; 132400 ; 218500 ; 132360 ; 109 
220590 ; 133560 ; 220520 ; 133520 ; 110 
222614 ; 134560 ; 222472 ; 134520 ; 111 
224572 ; 135560 ; 224502 ; 135520 ; 112 
226606 ; 136640 ; 226540 ; 136600 ; 113 
228564 ; 137680 ; 228498 ; 137640 ; 114 
230576 ; 138720 ; 230442 ; 138680 ; 115 
232580 ; 139800 ; 232516 ; 139760 ; 116 
234598 ; 140920 ; 234536 ; 140880 ; 117 
236596 ; 142000 ; 236532 ; 141960 ; 118 
238612 ; 143120 ; 238546 ; 143080 ; 119 
240602 ; 144200 ; 240470 ; 144160 ; 120 
242648 ; 145360 ; 242584 ; 145320 ; 121 
244646 ; 146480 ; 244582 ; 146440 ; 122 
246614 ; 147640 ; 246554 ; 147600 ; 123 
248620 ; 148760 ; 248556 ; 148720 ; 124 
250626 ; 149800 ; 250558 ; 149760 ; 125 
252652 ; 150880 ; 252586 ; 150840 ; 126 
254678 ; 151920 ; 254542 ; 151880 ; 127 
256652 ; 153000 ; 256586 ; 152960 ; 128 
258724 ; 154160 ; 258594 ; 154120 ; 129 
260634 ; 155240 ; 260570 ; 155200 ; 130 
262676 ; 156400 ; 262612 ; 156360 ; 131 
264666 ; 157480 ; 264604 ; 157440 ; 132 
266662 ; 158560 ; 266594 ; 158520 ; 133 
268656 ; 159640 ; 268530 ; 159600 ; 134 
270704 ; 160800 ; 270644 ; 160760 ; 135 
272716 ; 161960 ; 272656 ; 161920 ; 136 
274788 ; 163200 ; 274660 ; 163160 ; 137 
276696 ; 164320 ; 276638 ; 164280 ; 138 
278702 ; 165360 ; 278636 ; 165320 ; 139 
280752 ; 166400 ; 280614 ; 166360 ; 140 
282700 ; 167400 ; 282630 ; 167360 ; 141 
284730 ; 168480 ; 284668 ; 168440 ; 142 
286734 ; 169600 ; 286664 ; 169560 ; 143 
288738 ; 170720 ; 288682 ; 170680 ; 144 
290828 ; 171880 ; 290694 ; 171840 ; 145 
292772 ; 173000 ; 292706 ; 172960 ; 146 
294838 ; 174120 ; 294702 ; 174080 ; 147 
296734 ; 175200 ; 296666 ; 175160 ; 148 
298802 ; 176360 ; 298670 ; 176320 ; 149 
300740 ; 177520 ; 300688 ; 177480 ; 150 
302778 ; 178720 ; 302718 ; 178680 ; 151 
304780 ; 179880 ; 304708 ; 179840 ; 152 
306806 ; 180880 ; 306660 ; 180840 ; 153 
308762 ; 181840 ; 308620 ; 181800 ; 154 
310780 ; 182840 ; 310710 ; 182800 ; 155 
