sector;pts_read;dts_read; NB_SAMPLES_PTS ;;;;;;;;;
160;260677;260595;127680;532;260677;0;260595;0;;;;
161;262228;262146;128440;535,166666666667;262228;0;262146;0;;;;
162;263779;263697;129200;538,333333333333;263779;0;263697;0;;;;
163;265330;265248;129960;541,5;265330;0;265248;0;;;;
164;266881;266799;130720;544,666666666667;266881;0;266799;0;;;;
165;268513;268432;131520;548;268513;0;268432;0;;;;
166;270064;269983;132280;551,166666666667;270064;0;269983;0;;;;
167;271615;271534;133040;554,333333333333;271615;0;271534;0;;;;
168;273166;273085;133800;557,5;273166;0;273085;0;;;;
169;274636;274554;134520;560,5;274636;0;274554;0;;;;
170;276024;275942;135200;563,333333333333;276023;-1;275942;0;;;;
171;277411;277330;135880;566,166666666667;277411;0;277330;0;;;;
172;278881;278799;136600;569,166666666667;278881;0;278799;0;;;;
173;280432;280350;137360;572,333333333333;280432;0;280350;0;;;;
174;281901;281819;138080;575,333333333333;281901;0;281819;0;;;;
175;283370;283289;138800;578,333333333333;283370;0;283289;0;;;;
176;284921;284840;139560;581,5;284921;0;284840;0;;;;
177;286472;286391;140320;584,666666666667;286472;0;286391;0;;;;
178;288024;287942;141080;587,833333333333;288023;-1;287942;0;;;;
179;289656;289575;141880;591,166666666667;289656;0;289575;0;;;;
180;291126;291044;142600;594,166666666667;291126;0;291044;0;;;;
181;292758;292677;143360;597,333333333333;292677;-81;292595;-82;;;;
182;294309;294228;144160;600,666666666667;294309;0;294228;0;;;;
183;295779;295697;144880;603,666666666667;295779;0;295697;0;;;;
184;297411;297330;145680;607;297411;0;297330;0;;;;
185;299044;298962;146480;610,333333333333;299044;0;298962;0;;;;
186;300677;300595;147280;613,666666666667;300677;0;300595;0;;;;
187;302309;302228;148080;617;302309;0;302228;0;;;;
188;303860;303779;148840;620,166666666667;303860;0;303779;0;;;;
189;305248;305166;149520;623;305248;0;305166;0;;;;
190;306717;306636;150240;626;306717;0;306636;0;;;;
191;308187;308105;150960;629;308187;0;308105;0;;;;
192;309656;309575;151680;632;309656;0;309575;0;;;;
193;311207;311126;152440;635,166666666667;311207;0;311126;0;;;;
194;312758;312677;153200;638,333333333333;312758;0;312677;0;;;;
195;314228;314146;153920;641,333333333333;314228;0;314146;0;;;;
196;315860;315779;154720;644,666666666667;315860;0;315779;0;;;;
197;317411;317330;155480;647,833333333333;317411;0;317330;0;;;;
198;319044;318962;156280;651,166666666667;319044;0;318962;0;;;;
199;320677;320595;157080;654,5;320677;0;320595;0;;;;
200;322146;322064;157800;657,5;322146;0;322064;0;;;;
201;323697;323615;158560;660,666666666667;323697;0;323615;0;;;;
202;325248;325166;159320;663,833333333333;325248;0;325166;0;;;;
203;326799;326717;160080;667;326799;0;326717;0;;;;
204;328432;328350;160880;670,333333333333;328432;0;328350;0;;;;
205;329983;329901;161640;673,5;329983;0;329901;0;;;;
206;331697;331615;162480;677;331697;0;331615;0;;;;
207;333248;333166;163240;680,166666666667;333248;0;333166;0;;;;
208;334881;334799;164040;683,5;334881;0;334799;0;;;;
209;336432;336350;164800;686,666666666667;336432;0;336350;0;;;;
210;337819;337738;165480;689,5;337819;0;337738;0;;;;
211;339207;339126;166160;692,333333333333;339207;0;339126;0;;;;
212;340677;340595;166880;695,333333333333;340677;0;340595;0;;;;
213;342228;342146;167640;698,5;342228;0;342146;0;;;;
214;343615;343534;168320;701,333333333333;343615;0;343534;0;;;;
215;345166;345085;169080;704,5;345166;0;345085;0;;;;
216;346717;346636;169840;707,666666666667;346717;0;346636;0;;;;
217;348268;348187;170600;710,833333333333;348268;0;348187;0;;;;
218;349819;349738;171360;714;349819;0;349738;0;;;;
219;351452;351370;172160;717,333333333333;351452;0;351370;0;;;;
220;352921;352840;172880;720,333333333333;352921;0;352840;0;;;;
221;354554;354472;173680;723,666666666667;354554;0;354472;0;;;;
222;356105;356024;174440;726,833333333333;356105;0;356023;-1;;;;
223;357575;357493;175160;729,833333333333;357575;0;357493;0;;;;
224;359126;359044;175920;733;359126;0;359044;0;;;;
225;360758;360677;176720;736,333333333333;360758;0;360677;0;;;;
226;362309;362228;177480;739,5;362309;0;362228;0;;;;
227;364024;363942;178320;743;364023;-1;363942;0;;;;
228;365656;365575;179120;746,333333333333;365656;0;365575;0;;;;
229;367207;367126;179880;749,5;367207;0;367126;0;;;;
230;368595;368513;180560;752,333333333333;368595;0;368513;0;;;;
231;369983;369901;181240;755,166666666667;369983;0;369901;0;;;;
232;371370;371289;181920;758;371370;0;371289;0;;;;
233;372758;372677;182600;760,833333333333;372758;0;372677;0;;;;
234;374146;374064;183280;763,666666666667;374146;0;374064;0;;;;
235;375615;375534;184000;766,666666666667;375615;0;375534;0;;;;
236;377085;377003;184720;769,666666666667;377085;0;377003;0;;;;
237;378554;378472;185440;772,666666666667;378554;0;378472;0;;;;
238;380105;380024;186200;775,833333333333;380105;0;380023;-1;;;;
239;381656;381575;186960;779;381656;0;381575;0;;;;
240;383126;383044;187680;782;383126;0;383044;0;;;;
241;384677;384595;188440;785,166666666667;384677;0;384595;0;;;;
242;386228;386146;189200;788,333333333333;386228;0;386146;0;;;;
243;387779;387697;189960;791,5;387779;0;387697;0;;;;
244;389330;389248;190720;794,666666666667;389330;0;389248;0;;;;
245;390881;390799;191480;797,833333333333;390881;0;390799;0;;;;
246;392432;392350;192240;801;392432;0;392350;0;;;;
247;394064;393983;193040;804,333333333333;394064;0;393983;0;;;;
248;395615;395534;193800;807,5;395615;0;395534;0;;;;
249;397330;397248;194640;811;397330;0;397248;0;;;;
250;398799;398717;195360;814;398799;0;398717;0;;;;
251;400187;400105;196040;816,833333333333;400187;0;400105;0;;;;
252;401656;401575;196760;819,833333333333;401656;0;401575;0;;;;
253;403044;402962;197440;822,666666666667;403044;0;402962;0;;;;
254;404513;404432;198160;825,666666666667;404513;0;404432;0;;;;
255;406064;405983;198920;828,833333333333;406064;0;405983;0;;;;
256;407452;407370;199600;831,666666666667;407452;0;407370;0;;;;
257;409003;408921;200360;834,833333333333;409003;0;408921;0;;;;
258;410472;410391;201080;837,833333333333;410472;0;410391;0;;;;
259;412024;411942;201840;841;412023;-1;411942;0;;;;
260;413575;413493;202600;844,166666666667;413575;0;413493;0;;;;
261;415126;415044;203360;847,333333333333;415126;0;415044;0;;;;
262;416595;416513;204080;850,333333333333;416595;0;416513;0;;;;
263;418146;418064;204840;853,5;418146;0;418064;0;;;;
264;419697;419615;205600;856,666666666667;419697;0;419615;0;;;;
265;421248;421166;206360;859,833333333333;421248;0;421166;0;;;;
266;422799;422717;207120;863;422799;0;422717;0;;;;
