PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
312788 ; 124720 ; 312686 ; 124680 ; 156 
314818 ; 125480 ; 314724 ; 125440 ; 157 
316818 ; 126200 ; 316644 ; 126160 ; 158 
318868 ; 126960 ; 318770 ; 126920 ; 159 
320800 ; 127680 ; 320702 ; 127640 ; 160 
322870 ; 128440 ; 322700 ; 128400 ; 161 
324856 ; 129200 ; 324760 ; 129160 ; 162 
326818 ; 129960 ; 326724 ; 129920 ; 163 
328824 ; 130720 ; 328730 ; 130680 ; 164 
330858 ; 131520 ; 330766 ; 131480 ; 165 
332870 ; 132280 ; 332702 ; 132240 ; 166 
334818 ; 133040 ; 334724 ; 133000 ; 167 
336860 ; 133800 ; 336754 ; 133760 ; 168 
338908 ; 134520 ; 338800 ; 134480 ; 169 
340922 ; 135200 ; 340742 ; 135160 ; 170 
342858 ; 135880 ; 342754 ; 135840 ; 171 
344848 ; 136600 ; 344746 ; 136560 ; 172 
346918 ; 137360 ; 346818 ; 137320 ; 173 
348942 ; 138080 ; 348766 ; 138040 ; 174 
350872 ; 138800 ; 350774 ; 138760 ; 175 
352884 ; 139560 ; 352788 ; 139520 ; 176 
354868 ; 140320 ; 354772 ; 140280 ; 177 
356912 ; 141080 ; 356820 ; 141040 ; 178 
358956 ; 141880 ; 358862 ; 141840 ; 179 
360888 ; 142600 ; 360714 ; 142560 ; 180 
362982 ; 143400 ; 362884 ; 143360 ; 181 
364972 ; 144160 ; 364874 ; 144120 ; 182 
366916 ; 144880 ; 366820 ; 144840 ; 183 
368924 ; 145680 ; 368832 ; 145640 ; 184 
370990 ; 146480 ; 370896 ; 146440 ; 185 
372962 ; 147280 ; 372870 ; 147240 ; 186 
375010 ; 148080 ; 374844 ; 148040 ; 187 
376946 ; 148840 ; 376846 ; 148800 ; 188 
378932 ; 149520 ; 378824 ; 149480 ; 189 
380976 ; 150240 ; 380874 ; 150200 ; 190 
383044 ; 150960 ; 382868 ; 150920 ; 191 
385006 ; 151680 ; 384908 ; 151640 ; 192 
387030 ; 152440 ; 386932 ; 152400 ; 193 
389096 ; 153200 ; 388926 ; 153160 ; 194 
390962 ; 153920 ; 390868 ; 153880 ; 195 
392992 ; 154720 ; 392900 ; 154680 ; 196 
394984 ; 155480 ; 394816 ; 155440 ; 197 
396988 ; 156280 ; 396896 ; 156240 ; 198 
399088 ; 157080 ; 398924 ; 157040 ; 199 
400980 ; 157800 ; 400880 ; 157760 ; 200 
402986 ; 158560 ; 402886 ; 158520 ; 201 
405048 ; 159320 ; 404878 ; 159280 ; 202 
407016 ; 160080 ; 406922 ; 160040 ; 203 
409042 ; 160880 ; 408948 ; 160840 ; 204 
411020 ; 161640 ; 410928 ; 161600 ; 205 
413098 ; 162480 ; 413004 ; 162440 ; 206 
415054 ; 163240 ; 414964 ; 163200 ; 207 
417042 ; 164040 ; 416950 ; 164000 ; 208 
419170 ; 164800 ; 418994 ; 164760 ; 209 
421126 ; 165480 ; 421020 ; 165440 ; 210 
423054 ; 166160 ; 422948 ; 166120 ; 211 
425052 ; 166880 ; 424950 ; 166840 ; 212 
427122 ; 167640 ; 427020 ; 167600 ; 213 
429064 ; 168320 ; 428888 ; 168280 ; 214 
431092 ; 169080 ; 430996 ; 169040 ; 215 
433102 ; 169840 ; 433006 ; 169800 ; 216 
435152 ; 170600 ; 434980 ; 170560 ; 217 
437122 ; 171360 ; 437030 ; 171320 ; 218 
439156 ; 172160 ; 439062 ; 172120 ; 219 
441092 ; 172880 ; 440994 ; 172840 ; 220 
443178 ; 173680 ; 443080 ; 173640 ; 221 
445246 ; 174440 ; 445072 ; 174400 ; 222 
447128 ; 175160 ; 447036 ; 175120 ; 223 
449100 ; 175920 ; 449004 ; 175880 ; 224 
451204 ; 176720 ; 451038 ; 176680 ; 225 
453110 ; 177480 ; 453018 ; 177440 ; 226 
455234 ; 178320 ; 455068 ; 178280 ; 227 
457176 ; 179120 ; 457084 ; 179080 ; 228 
459158 ; 179880 ; 459052 ; 179840 ; 229 
461156 ; 180560 ; 460970 ; 180520 ; 230 
463182 ; 181240 ; 463068 ; 181200 ; 231 
465216 ; 181920 ; 465108 ; 181880 ; 232 
467204 ; 182600 ; 467098 ; 182560 ; 233 
469164 ; 183280 ; 469056 ; 183240 ; 234 
471192 ; 184000 ; 471090 ; 183960 ; 235 
473168 ; 184720 ; 473066 ; 184680 ; 236 
475200 ; 185440 ; 475100 ; 185400 ; 237 
477230 ; 186200 ; 477132 ; 186160 ; 238 
479240 ; 186960 ; 479144 ; 186920 ; 239 
481220 ; 187680 ; 481122 ; 187640 ; 240 
483218 ; 188440 ; 483120 ; 188400 ; 241 
485212 ; 189200 ; 485114 ; 189160 ; 242 
487286 ; 189960 ; 487190 ; 189920 ; 243 
489270 ; 190720 ; 489174 ; 190680 ; 244 
491240 ; 191480 ; 491144 ; 191440 ; 245 
493258 ; 192240 ; 493162 ; 192200 ; 246 
495270 ; 193040 ; 495178 ; 193000 ; 247 
497246 ; 193800 ; 497152 ; 193760 ; 248 
499304 ; 194640 ; 499214 ; 194600 ; 249 
501284 ; 195360 ; 501104 ; 195320 ; 250 
503262 ; 196040 ; 503152 ; 196000 ; 251 
505316 ; 196760 ; 505210 ; 196720 ; 252 
507248 ; 197440 ; 507142 ; 197400 ; 253 
509254 ; 198160 ; 509152 ; 198120 ; 254 
511420 ; 198920 ; 511244 ; 198880 ; 255 
513300 ; 199600 ; 513198 ; 199560 ; 256 
515348 ; 200360 ; 515248 ; 200320 ; 257 
517280 ; 201080 ; 517182 ; 201040 ; 258 
519368 ; 201840 ; 519270 ; 201800 ; 259 
521358 ; 202600 ; 521262 ; 202560 ; 260 
523348 ; 203360 ; 523252 ; 203320 ; 261 
525310 ; 204080 ; 525212 ; 204040 ; 262 
527308 ; 204840 ; 527212 ; 204800 ; 263 
529302 ; 205600 ; 529206 ; 205560 ; 264 
531358 ; 206360 ; 531260 ; 206320 ; 265 
533334 ; 207120 ; 533238 ; 207080 ; 266 
535426 ; 207920 ; 535254 ; 207880 ; 267 
537400 ; 208720 ; 537310 ; 208680 ; 268 
539448 ; 209520 ; 539282 ; 209480 ; 269 
541344 ; 210280 ; 541256 ; 210240 ; 270 
543366 ; 211000 ; 543254 ; 210960 ; 271 
545340 ; 211680 ; 545234 ; 211640 ; 272 
547438 ; 212400 ; 547264 ; 212360 ; 273 
549424 ; 213120 ; 549324 ; 213080 ; 274 
551394 ; 213840 ; 551294 ; 213800 ; 275 
553446 ; 214600 ; 553348 ; 214560 ; 276 
555464 ; 215320 ; 555292 ; 215280 ; 277 
557374 ; 216040 ; 557276 ; 216000 ; 278 
559462 ; 216840 ; 559366 ; 216800 ; 279 
561428 ; 217560 ; 561256 ; 217520 ; 280 
563390 ; 218320 ; 563296 ; 218280 ; 281 
565482 ; 219120 ; 565382 ; 219080 ; 282 
567464 ; 219840 ; 567366 ; 219800 ; 283 
569464 ; 220600 ; 569368 ; 220560 ; 284 
571454 ; 221360 ; 571358 ; 221320 ; 285 
573496 ; 222120 ; 573402 ; 222080 ; 286 
575420 ; 222880 ; 575326 ; 222840 ; 287 
577498 ; 223680 ; 577334 ; 223640 ; 288 
579502 ; 224480 ; 579410 ; 224440 ; 289 
581582 ; 225280 ; 581414 ; 225240 ; 290 
583528 ; 226040 ; 583430 ; 226000 ; 291 
585480 ; 226720 ; 585374 ; 226680 ; 292 
587448 ; 227400 ; 587342 ; 227360 ; 293 
589456 ; 228120 ; 589354 ; 228080 ; 294 
591512 ; 228840 ; 591336 ; 228800 ; 295 
593552 ; 229600 ; 593454 ; 229560 ; 296 
595552 ; 230360 ; 595454 ; 230320 ; 297 
597506 ; 231080 ; 597334 ; 231040 ; 298 
599568 ; 231880 ; 599472 ; 231840 ; 299 
601508 ; 232640 ; 601416 ; 232600 ; 300 
603524 ; 233400 ; 603428 ; 233360 ; 301 
605556 ; 234200 ; 605464 ; 234160 ; 302 
607512 ; 234920 ; 607340 ; 234880 ; 303 
609508 ; 235680 ; 609412 ; 235640 ; 304 
611582 ; 236480 ; 611484 ; 236440 ; 305 
613512 ; 237200 ; 613340 ; 237160 ; 306 
615534 ; 238000 ; 615442 ; 237960 ; 307 
617592 ; 238800 ; 617430 ; 238760 ; 308 
619572 ; 239600 ; 619482 ; 239560 ; 309 
621642 ; 240400 ; 621474 ; 240360 ; 310 
623576 ; 241160 ; 623466 ; 241120 ; 311 
625554 ; 241840 ; 625442 ; 241800 ; 312 
627580 ; 242520 ; 627472 ; 242480 ; 313 
629592 ; 243200 ; 629484 ; 243160 ; 314 
631566 ; 243880 ; 631458 ; 243840 ; 315 
633682 ; 244600 ; 633502 ; 244560 ; 316 
