 PKT_POS_SRC,SRC_READ,,,,,,,,,,,PKT_POS_PTS , PKT_POS_SRC,,,,BYTES BEFORE SECT,BYTES AFTER SECT, NB_SAMPLES_PTS , NB_SAMPLES_SCR,FRAMES,REM PCM BYTES,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,0,0,64,64,,,,0,,,,"24,4897959183673",,,,,,,,,,,,,,,,,,,,
38,23492485,"23492839,2857143","78309,4642857143",,,,,,,,,76220,76116,,,,,,38400,38360,,,,,"0,86984126984127",,,,,,,,,,,,,,,,,,
39,23932778,"23933655,6122449","79778,8520408163",,,,,,,,,78244,78142,,,,,,39120,39080,,,,,"0,886167800453515",,,,,,,,,,,,,,,,,,
40,24373500,"24374471,9387755","81248,2397959184",,,,,,,,,80262,80158,,,,,,39840,39800,,,,,"0,90249433106576",,,,,,,,,,,,,,,,,,
41,24813878,"24815288,2653061","82717,6275510204",,,,,,,,,82282,82180,,,,,,40560,40520,,,,,"0,918820861678005",,,,,,,,,,,,,,,,,,
42,25230771,"25231614,7959184","84105,3826530612",,,,,,,,,84264,84084,,,,,,41240,41200,,,,,"0,934240362811791",,,,,,,,,,,,,,,,,,
43,25648350,"25647941,3265306","85493,137755102",,,,,,,,,86214,86106,,,,,,41920,41880,,,,,"0,949659863945578",,,,,,,,,,,,,,,,,,
44,26087357,"26088757,6530612","86962,5255102041",,,,,,,,,88298,88192,,,,,,42640,42600,,,,,"0,965986394557823",,,,,,,,,,,,,,,,,,
45,26504635,"26505084,1836735","88350,2806122449",,,,,,,,,90262,90156,,,,,,43320,43280,,,,,"0,98140589569161",,,,,,,,,,,,,,,,,,
46,26921914,"26921410,7142857","89738,0357142857",,,,,,,,,92212,92106,,,,,,44000,43960,,,,,"0,996825396825397",,,,,,,,,,,,,,,,,,
47,27362378,"27362227,0408163","91207,4234693878",,,,,,,,,94242,94138,,,,,,44720,44680,,,,,"1,01315192743764",,,,,,,,,,,,,,,,,,
48,27800957,"27803043,3673469","92676,8112244898",,,,,,,,,96346,96166,,,,,,45440,45400,,,,,"1,02947845804989",,,,,,,,,,,,,,,,,,
49,28219435,"28219369,8979592","94064,5663265306",,,,,,,,,98254,98150,,,,,,46120,46080,,,,,"1,04489795918367",,,,,,,,,,,,,,,,,,
50,28659814,"28660186,2244898","95533,9540816327",,,,,,,,,100274,100172,,,,,,46840,46800,,,,,"1,06122448979592",,,,,,,,,,,,,,,,,,
51,29100750,"29101002,5510204","97003,3418367347",,,,,,,,,102282,102180,,,,,,47560,47520,,,,,"1,07755102040816",,,,,,,,,,,,,,,,,,
52,29541643,"29541818,877551","98472,7295918368",,,,,,,,,104278,104174,,,,,,48280,48240,,,,,"1,09387755102041",,,,,,,,,,,,,,,,,,
53,29958578,"29958145,4081633","99860,4846938776",,,,,,,,,106258,106076,,,,,,48960,48920,,,,,"1,1092970521542",,,,,,,,,,,,,,,,,,
54,30399514,"30398961,7346939","101329,87244898",,,,,,,,,108252,108150,,,,,,49680,49640,,,,,"1,12562358276644",,,,,,,,,,,,,,,,,,
55,30863121,"30864267,8571429","102880,892857143",,,,,,,,,110336,110234,,,,,,50440,50400,,,,,"1,14285714285714",,,,,,,,,,,,,,,,,,
56,31304185,"31305084,1836735","104350,280612245",,,,,,,,,112338,112234,,,,,,51160,51120,,,,,"1,15918367346939",,,,,,,,,,,,,,,,,,
57,31743664,"31745900,5102041","105819,668367347",,,,,,,,,114400,114220,,,,,,51880,51840,,,,,"1,17551020408163",,,,,,,,,,,,,,,,,,
58,32162614,"32162227,0408163","107207,423469388",,,,,,,,,116286,116180,,,,,,52560,52520,,,,,"1,19092970521542",,,,,,,,,,,,,,,,,,
59,32603550,"32603043,3673469","108676,81122449",,,,,,,,,118280,118176,,,,,,53280,53240,,,,,"1,20725623582766",,,,,,,,,,,,,,,,,,
60,33067500,"33068349,4897959","110227,831632653",,,,,,,,,120348,120248,,,,,,54040,54000,,,,,"1,22448979591837",,,,,,,,,,,,,,,,,,
61,33507835,,0,,,,,,,,,122384,122212,,,,,,54760,54720,,,,,"1,24081632653061",,,,,,,,,,,,,,,,,,
62,33949285,,0,,,,,,,,,124354,124254,,,,,,55480,55440,,,,,"1,25714285714286",,,,,,,,,,,,,,,,,,
63,34390478,,0,,,,,,,,,126336,126232,,,,,,56200,56160,,,,,"1,2734693877551",,,,,,,,,,,,,,,,,,
64,34831928,,0,,,,,,,,,128320,128216,,,,,,56920,56880,,,,,"1,28979591836735",,,,,,,,,,,,,,,,,,
65,35269735,,,,,,,,,,,130460,130278,,,,,,57640,57600,,,,,"1,30612244897959",,,,,,,,,,,,,,,,,,
66,35663485,,,,,,,,,,,132374,132190,,,,,,58280,58240,,,,,"1,32063492063492",,,,,,,,,,,,,,,,,,
67,36079778,,,,,,,,,,,134384,134200,,,,,,58960,58920,,,,,"1,33605442176871",,,,,,,,,,,,,,,,,,
68,36496285,,,,,,,,,,,136384,136276,,,,,,59640,59600,,,,,"1,35147392290249",,,,,,,,,,,,,,,,,,
69,36912964,,,,,,,,,,,138376,138272,,,,,,60320,60280,,,,,"1,36689342403628",,,,,,,,,,,,,,,,,,
70,37330071,,,,,,,,,,,140334,140230,,,,,,61000,60960,,,,,"1,38231292517007",,,,,,,,,,,,,,,,,,
71,37770535,,,,,,,,,,,142364,142260,,,,,,61720,61680,,,,,"1,39863945578231",,,,,,,,,,,,,,,,,,
72,38210528,,,,,,,,,,,144402,144296,,,,,,62440,62400,,,,,"1,41496598639456",,,,,,,,,,,,,,,,,,
73,38627421,,,,,,,,,,,146384,146208,,,,,,63120,63080,,,,,"1,43038548752834",,,,,,,,,,,,,,,,,,
74,39068400,,,,,,,,,,,148376,148274,,,,,,63840,63800,,,,,"1,44671201814059",,,,,,,,,,,,,,,,,,
75,39532564,,,,,,,,,,,150434,150334,,,,,,64600,64560,,,,,"1,46394557823129",,,,,,,,,,,,,,,,,,
76,39974357,,,,,,,,,,,152402,152298,,,,,,65320,65280,,,,,"1,48027210884354",,,,,,,,,,,,,,,,,,
77,40413921,,,,,,,,,,,154460,154358,,,,,,66040,66000,,,,,"1,49659863945578",,,,,,,,,,,,,,,,,,
78,40855414,,,,,,,,,,,156428,156328,,,,,,66760,66720,,,,,"1,51292517006803",,,,,,,,,,,,,,,,,,
79,41319835,,,,,,,,,,,158374,158274,,,,,,67480,67440,,,,,"1,52925170068027",,,,,,,,,,,,,,,,,,
80,41762228,,,,,,,,,,,160414,160314,,,,,,68240,68200,,,,,"1,54648526077098",,,,,,,,,,,,,,,,,,
81,42203507,,,,,,,,,,,162392,162294,,,,,,68960,68920,,,,,"1,56281179138322",,,,,,,,,,,,,,,,,,
82,42691500,,,,,,,,,,,164486,164388,,,,,,69760,69720,,,,,"1,58095238095238",,,,,,,,,,,,,,,,,,
83,43155750,,,,,,,,,,,166540,166370,,,,,,70520,70480,,,,,"1,59818594104308",,,,,,,,,,,,,,,,,,
84,43622185,,,,,,,,,,,168492,168396,,,,,,71280,71240,,,,,"1,61541950113379",,,,,,,,,,,,,,,,,,
85,44088278,,,,,,,,,,,170460,170364,,,,,,72040,72000,,,,,"1,63265306122449",,,,,,,,,,,,,,,,,,
86,44527071,,,,,,,,,,,172554,172374,,,,,,72760,72720,,,,,"1,64897959183673",,,,,,,,,,,,,,,,,,
87,44921935,,,,,,,,,,,174416,174234,,,,,,73400,73360,,,,,"1,66349206349206",,,,,,,,,,,,,,,,,,
88,45361843,,,,,,,,,,,176472,176364,,,,,,74120,74080,,,,,"1,67981859410431",,,,,,,,,,,,,,,,,,
89,45802050,,,,,,,,,,,178500,178396,,,,,,74840,74800,,,,,"1,69614512471655",,,,,,,,,,,,,,,,,,
90,46242943,,,,,,,,,,,180510,180408,,,,,,75560,75520,,,,,"1,7124716553288",,,,,,,,,,,,,,,,,,
91,46683793,,,,,,,,,,,182508,182406,,,,,,76280,76240,,,,,"1,72879818594104",,,,,,,,,,,,,,,,,,
92,47101628,,,,,,,,,,,184446,184270,,,,,,76960,76920,,,,,"1,74421768707483",,,,,,,,,,,,,,,,,,
93,47566178,,,,,,,,,,,186486,186388,,,,,,77720,77680,,,,,"1,76145124716553",,,,,,,,,,,,,,,,,,
94,48031200,,,,,,,,,,,188504,188408,,,,,,78480,78440,,,,,"1,77868480725624",,,,,,,,,,,,,,,,,,
95,48472435,,,,,,,,,,,190484,190310,,,,,,79200,79160,,,,,"1,79501133786848",,,,,,,,,,,,,,,,,,
96,48938143,,,,,,,,,,,192470,192376,,,,,,79960,79920,,,,,"1,81224489795918",,,,,,,,,,,,,,,,,,
97,49426221,,,,,,,,,,,194560,194462,,,,,,80760,80720,,,,,"1,83038548752834",,,,,,,,,,,,,,,,,,
98,49867071,,,,,,,,,,,196558,196380,,,,,,81480,81440,,,,,"1,84671201814059",,,,,,,,,,,,,,,,,,
99,50309550,,,,,,,,,,,198494,198396,,,,,,82200,82160,,,,,"1,86303854875283",,,,,,,,,,,,,,,,,,
100,50774871,,,,,,,,,,,200498,200400,,,,,,82960,82920,,,,,"1,88027210884354",,,,,,,,,,,,,,,,,,
101,51239464,,,,,,,,,,,202536,202362,,,,,,83720,83680,,,,,"1,89750566893424",,,,,,,,,,,,,,,,,,
102,51729900,,,,,,,,,,,204502,204412,,,,,,84520,84480,,,,,"1,9156462585034",,,,,,,,,,,,,,,,,,
103,52218707,,,,,,,,,,,206558,206388,,,,,,85320,85280,,,,,"1,93378684807256",,,,,,,,,,,,,,,,,,
104,52708671,,,,,,,,,,,208560,208468,,,,,,86120,86080,,,,,"1,95192743764172",,,,,,,,,,,,,,,,,,
105,53196621,,,,,,,,,,,210642,210474,,,,,,86920,86880,,,,,"1,97006802721088",,,,,,,,,,,,,,,,,,
106,53663357,,,,,,,,,,,212580,212484,,,,,,87680,87640,,,,,"1,98730158730159",,,,,,,,,,,,,,,,,,
107,54080378,,,,,,,,,,,214556,214450,,,,,,88360,88320,,,,,"2,00272108843537",,,,,,,,,,,,,,,,,,
108,54497657,,,,,,,,,,,216520,216414,,,,,,89040,89000,,,,,"2,01814058956916",,,,,,,,,,,,,,,,,,
109,54937007,,,,,,,,,,,218588,218482,,,,,,89760,89720,,,,,"2,03446712018141",,,,,,,,,,,,,,,,,,
110,55375671,,,,,,,,,,,220702,220526,,,,,,90480,90440,,,,,"2,05079365079365",,,,,,,,,,,,,,,,,,
111,55794064,,,,,,,,,,,222600,222498,,,,,,91160,91120,,,,,"2,06621315192744",,,,,,,,,,,,,,,,,,
112,56235814,,,,,,,,,,,224570,224470,,,,,,91880,91840,,,,,"2,08253968253968",,,,,,,,,,,,,,,,,,
113,56700193,,,,,,,,,,,226618,226520,,,,,,92640,92600,,,,,"2,09977324263039",,,,,,,,,,,,,,,,,,
114,57141257,,,,,,,,,,,228606,228432,,,,,,93360,93320,,,,,"2,11609977324263",,,,,,,,,,,,,,,,,,
115,57606750,,,,,,,,,,,230602,230504,,,,,,94120,94080,,,,,"2,13333333333333",,,,,,,,,,,,,,,,,,
116,58072843,,,,,,,,,,,232570,232476,,,,,,94880,94840,,,,,"2,15056689342404",,,,,,,,,,,,,,,,,,
117,58537435,,,,,,,,,,,234608,234436,,,,,,95640,95600,,,,,"2,16780045351474",,,,,,,,,,,,,,,,,,
118,59002928,,,,,,,,,,,236604,236506,,,,,,96400,96360,,,,,"2,18503401360544",,,,,,,,,,,,,,,,,,
119,59468035,,,,,,,,,,,238618,238522,,,,,,97160,97120,,,,,"2,20226757369615",,,,,,,,,,,,,,,,,,
120,59909528,,,,,,,,,,,240600,240426,,,,,,97880,97840,,,,,"2,21859410430839",,,,,,,,,,,,,,,,,,
121,60397607,,,,,,,,,,,242676,242578,,,,,,98680,98640,,,,,"2,23673469387755",,,,,,,,,,,,,,,,,,
122,60864214,,,,,,,,,,,244620,244526,,,,,,99440,99400,,,,,"2,25396825396825",,,,,,,,,,,,,,,,,,
