PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SRC; NB_SAMPLES_SRC; RANK 
880195 ; 287440 ; 880070 ; 287400 ; 439 
882349 ; 288040 ; 882128 ; 288000 ; 440 
884227 ; 288600 ; 884100 ; 288560 ; 441 
886219 ; 289160 ; 886094 ; 289120 ; 442 
888223 ; 289720 ; 888090 ; 289680 ; 443 
890291 ; 290320 ; 890156 ; 290280 ; 444 
892267 ; 290920 ; 892064 ; 290880 ; 445 
894215 ; 291520 ; 894098 ; 291480 ; 446 
896229 ; 292120 ; 896114 ; 292080 ; 447 
898333 ; 292760 ; 898210 ; 292720 ; 448 
900241 ; 293360 ; 900120 ; 293320 ; 449 
902309 ; 294000 ; 902182 ; 293960 ; 450 
904329 ; 294640 ; 904212 ; 294600 ; 451 
906327 ; 295280 ; 906208 ; 295240 ; 452 
908345 ; 295920 ; 908230 ; 295880 ; 453 
910295 ; 296520 ; 910182 ; 296480 ; 454 
912281 ; 297120 ; 912174 ; 297080 ; 455 
914305 ; 297760 ; 914188 ; 297720 ; 456 
916359 ; 298400 ; 916234 ; 298360 ; 457 
918273 ; 299000 ; 918168 ; 298960 ; 458 
920303 ; 299720 ; 920194 ; 299680 ; 459 
922279 ; 300360 ; 922160 ; 300320 ; 460 
924313 ; 301080 ; 924200 ; 301040 ; 461 
926331 ; 301760 ; 926216 ; 301720 ; 462 
928299 ; 302440 ; 928190 ; 302400 ; 463 
930391 ; 303080 ; 930264 ; 303040 ; 464 
932371 ; 303640 ; 932236 ; 303600 ; 465 
934315 ; 304160 ; 934182 ; 304120 ; 466 
936475 ; 304760 ; 936256 ; 304720 ; 467 
938449 ; 305320 ; 938306 ; 305280 ; 468 
940361 ; 305840 ; 940228 ; 305800 ; 469 
942351 ; 306400 ; 942214 ; 306360 ; 470 
944473 ; 307000 ; 944254 ; 306960 ; 471 
946463 ; 307600 ; 946332 ; 307560 ; 472 
948373 ; 308160 ; 948260 ; 308120 ; 473 
950417 ; 308760 ; 950296 ; 308720 ; 474 
952451 ; 309360 ; 952324 ; 309320 ; 475 
954439 ; 309960 ; 954310 ; 309920 ; 476 
956441 ; 310560 ; 956232 ; 310520 ; 477 
958455 ; 311200 ; 958238 ; 311160 ; 478 
960457 ; 311840 ; 960256 ; 311800 ; 479 
962561 ; 312480 ; 962360 ; 312440 ; 480 
964391 ; 313040 ; 964268 ; 313000 ; 481 
966421 ; 313680 ; 966306 ; 313640 ; 482 
968497 ; 314320 ; 968380 ; 314280 ; 483 
970509 ; 314960 ; 970384 ; 314920 ; 484 
972411 ; 315600 ; 972290 ; 315560 ; 485 
974415 ; 316280 ; 974294 ; 316240 ; 486 
976567 ; 317000 ; 976374 ; 316960 ; 487 
978543 ; 317640 ; 978354 ; 317600 ; 488 
980595 ; 318280 ; 980382 ; 318240 ; 489 
982531 ; 318840 ; 982400 ; 318800 ; 490 
984493 ; 319400 ; 984368 ; 319360 ; 491 
986549 ; 320000 ; 986412 ; 319960 ; 492 
988505 ; 320560 ; 988382 ; 320520 ; 493 
990561 ; 321160 ; 990348 ; 321120 ; 494 
992545 ; 321760 ; 992416 ; 321720 ; 495 
994465 ; 322320 ; 994338 ; 322280 ; 496 
996491 ; 322920 ; 996370 ; 322880 ; 497 
998501 ; 323520 ; 998378 ; 323480 ; 498 
1000511 ; 324160 ; 1000390 ; 324120 ; 499 
1002511 ; 324800 ; 1002390 ; 324760 ; 500 
1004505 ; 325440 ; 1004382 ; 325400 ; 501 
1006579 ; 326080 ; 1006466 ; 326040 ; 502 
1008511 ; 326680 ; 1008388 ; 326640 ; 503 
1010551 ; 327320 ; 1010434 ; 327280 ; 504 
1012631 ; 327960 ; 1012502 ; 327920 ; 505 
1014629 ; 328560 ; 1014420 ; 328520 ; 506 
1016679 ; 329200 ; 1016484 ; 329160 ; 507 
1018621 ; 329840 ; 1018430 ; 329800 ; 508 
1020651 ; 330480 ; 1020450 ; 330440 ; 509 
1022699 ; 331160 ; 1022502 ; 331120 ; 510 
1024687 ; 331800 ; 1024488 ; 331760 ; 511 
1026617 ; 332440 ; 1026430 ; 332400 ; 512 
1028547 ; 333080 ; 1028346 ; 333040 ; 513 
1030599 ; 333720 ; 1030384 ; 333680 ; 514 
1032677 ; 334320 ; 1032548 ; 334280 ; 515 
1034651 ; 334880 ; 1034526 ; 334840 ; 516 
1036591 ; 335440 ; 1036464 ; 335400 ; 517 
1038655 ; 336040 ; 1038530 ; 336000 ; 518 
1040577 ; 336600 ; 1040370 ; 336560 ; 519 
1042701 ; 337240 ; 1042494 ; 337200 ; 520 
1044599 ; 337840 ; 1044478 ; 337800 ; 521 
1046703 ; 338480 ; 1046584 ; 338440 ; 522 
1048639 ; 339080 ; 1048526 ; 339040 ; 523 
1050711 ; 339720 ; 1050586 ; 339680 ; 524 
1052665 ; 340320 ; 1052546 ; 340280 ; 525 
1054685 ; 340960 ; 1054572 ; 340920 ; 526 
1056693 ; 341600 ; 1056566 ; 341560 ; 527 
1058635 ; 342200 ; 1058514 ; 342160 ; 528 
1060177 ; 342680 ; 1060048 ; 342640 ; 528 
1060369 ; 342720 ; 0 ; 342680 ; 528 
