sector;SCR read;SCR_int;SCR_ext;;;;;;;Byte offset rec;PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR;;;;;;;2;16;44100
112;82978671;276595;171;276597,428571429;2,42857142857974;33;2,42468085106383;;;224539;224572;135560;224502;135520;;;;;;;;;
113;83639250;278797;150;278801,510204082;4,51020408165641;62;4,5554609929078;;;226544;226606;136640;226540;136600;;;;;;;;;
114;84276857;280922;257;280923,959183673;1,95918367343256;15;1,10212765957447;;;228549;228564;137680;228498;137640;;;;;;;;;
115;84913607;283045;107;283046,408163265;1,40816326532513;22;1,61645390070922;;;230554;230576;138720;230442;138680;;;;;;;;;
116;85574828;285249;128;285250,489795918;1,48979591834359;21;1,54297872340426;;;232559;232580;139800;232516;139760;;;;;;;;;
117;86260050;287533;150;287536,204081633;3,20408163266256;34;2,49815602836879;;;234564;234598;140920;234536;140880;;;;;;;;;
118;86921400;289738;0;289740,285714286;2,28571428573923;27;1,98382978723404;;;236569;236596;142000;236532;141960;;;;;;;;;
119;87606964;292023;64;292026;3;38;2,79205673758865;;;238574;238612;143120;238546;143080;;;;;;;;;
120;88268485;294228;85;294230,081632653;2,08163265307667;23;1,68992907801418;;;240579;240602;144200;240470;144160;;;;;;;;;
121;88978007;296593;107;296597,428571429;4,42857142857974;64;4,70241134751773;;;242584;242648;145360;242584;145320;;;;;;;;;
122;89663657;298878;257;298883,142857143;5,14285714289872;57;4,18808510638298;;;244589;244646;146480;244582;146440;;;;;;;;;
123;90374850;301249;150;301250,489795918;1,4897959184018;20;1,46950354609929;;;246594;246614;147640;246554;147600;;;;;;;;;
124;91060328;303534;128;303536,204081633;2,20408163266256;21;1,54297872340426;;;248599;248620;148760;248556;148720;;;;;;;;;
125;91697207;305657;107;305658,653061224;1,65306122449692;22;1,61645390070922;;;250604;250626;149800;250558;149760;;;;;;;;;
126;92357957;307859;257;307862,734693878;3,73469387757359;43;3,15943262411347;;;252609;252652;150880;252586;150840;;;;;;;;;
127;92994107;309980;107;309985,183673469;5,18367346940795;64;4,70241134751773;;;254614;254678;151920;254542;151880;;;;;;;;;
128;93655971;312186;171;312189,265306122;3,26530612242641;33;2,42468085106383;;;256619;256652;153000;256586;152960;;;;;;;;;
129;94364935;314549;235;314556,612244898;7,61224489798769;100;7,34751773049645;;;258624;258724;154160;258594;154120;;;;;;;;;
130;95028171;316760;171;316760,693877551;0,693877551006153;5;0,367375886524823;;;260629;260634;155240;260570;155200;;;;;;;;;
131;95737478;319124;278;319128,040816327;4,04081632650923;42;3,08595744680851;;;262634;262676;156400;262612;156360;;;;;;;;;
132;96399000;321330;0;321332,12244898;2,1224489795859;27;1,98382978723404;;;264639;264666;157480;264604;157440;;;;;;;;;
133;97060393;323534;193;323536,204081633;2,20408163266256;18;1,32255319148936;;;266644;266662;158560;266594;158520;;;;;;;;;
134;97721828;325739;128;325740,285714286;1,28571428573923;7;0,514326241134752;;;268649;268656;159640;268530;159600;;;;;;;;;
135;98431307;328104;107;328107,632653061;3,63265306124231;50;3,67375886524823;;;270654;270704;160800;270644;160760;;;;;;;;;
136;99141257;330470;257;330474,979591837;4,97959183674539;57;4,18808510638298;;;272659;272716;161960;272656;161920;;;;;;;;;
137;99899121;332997;21;333005,591836735;8,59183673467487;124;9,1109219858156;;;274664;274788;163200;274660;163160;;;;;;;;;
138;100586700;335289;0;335291,306122449;2,30612244899385;27;1,98382978723404;;;276669;276696;164320;276638;164280;;;;;;;;;
139;101223578;337411;278;337413,755102041;2,75510204082821;28;2,05730496453901;;;278674;278702;165360;278636;165320;;;;;;;;;
140;101859214;339530;214;339536,204081633;6,20408163266256;73;5,36368794326241;;;280679;280752;166400;280614;166360;;;;;;;;;
141;102472735;341575;235;341577,020408163;2,02040816325461;16;1,17560283687943;;;282684;282700;167400;282630;167360;;;;;;;;;
142;103133400;343778;0;343781,102040816;3,10204081633128;41;3,01248226950355;;;284689;284730;168480;284668;168440;;;;;;;;;
143;103819221;346064;21;346066,816326531;2,81632653059205;40;2,93900709219858;;;286694;286734;169600;286664;169560;;;;;;;;;
144;104505043;348350;43;348352,530612245;2,53061224491103;39;2,86553191489362;;;288699;288738;170720;288682;170680;;;;;;;;;
145;105213321;350711;21;350719,87755102;8,8775510204141;124;9,1109219858156;;;290704;290828;171880;290694;171840;;;;;;;;;
146;105900428;353001;128;353005,591836735;4,59183673473308;63;4,62893617021277;;;292709;292772;173000;292706;172960;;;;;;;;;
147;106584621;355282;21;355291,306122449;9,30612244899385;124;9,1109219858156;;;294714;294838;174120;294702;174080;;;;;;;;;
148;107248457;357494;257;357495,387755102;1,38775510201231;15;1,10212765957447;;;296719;296734;175200;296666;175160;;;;;;;;;
149;107957207;359857;107;359862,734693877;5,73469387751538;78;5,73106382978723;;;298724;298802;176360;298670;176320;;;;;;;;;
150;108668743;362229;43;362230,081632653;1,08163265307667;11;0,80822695035461;;;300729;300740;177520;300688;177480;;;;;;;;;
151;109402735;364675;235;364679,06122449;4,06122448982205;44;3,23290780141844;;;302734;302778;178720;302718;178680;;;;;;;;;
152;110113200;367044;0;367046,408163265;2,40816326526692;41;3,01248226950355;;;304739;304780;179880;304708;179840;;;;;;;;;
153;110724750;369082;150;369087,224489796;5,22448979591718;62;4,5554609929078;;;306744;306806;180880;306660;180840;;;;;;;;;
154;111313800;371046;0;371046,408163265;0,408163265266921;13;0,955177304964539;;;308749;308762;181840;308620;181800;;;;;;;;;
155;111925521;373085;21;373087,224489796;2,22448979591718;26;1,91035460992908;;;310754;310780;182840;310710;182800;;;;;;;;;
156;112561800;375206;0;375209,673469388;3,67346938775154;55;4,04113475177305;;;312759;312814;183880;312750;183840;;;;;;;;;
157;113223664;377412;64;377413,755102041;1,75510204082821;24;1,76340425531915;;;314764;314788;184960;314720;184920;;;;;;;;;
158;113882743;379609;43;379617,836734694;8,83673469390487;123;9,03744680851064;;;316769;316892;186040;316754;186000;;;;;;;;;
159;114520650;381735;150;381740,285714286;5,28571428573923;62;4,5554609929078;;;318774;318836;187080;318772;187040;;;;;;;;;
160;115182257;383940;257;383944,367346939;4,3673469388159;57;4,18808510638298;;;320779;320836;188160;320768;188120;;;;;;;;;
161;115842707;386142;107;386148,448979592;6,44897959183436;92;6,75971631205674;;;322784;322876;189240;322736;189200;;;;;;;;;
162;116481000;388270;0;388270,897959184;0,897959183726925;13;0,955177304964539;;;324789;324802;190280;324734;190240;;;;;;;;;
163;117166907;390556;107;390556,612244898;0,612244897987694;8;0,587801418439716;;;326794;326802;191400;326742;191360;;;;;;;;;
164;117876171;392920;171;392923,959183673;3,95918367343256;47;3,45333333333333;;;328799;328846;192560;328780;192520;;;;;;;;;
165;118609478;395364;278;395372,93877551;8,93877551017795;112;8,22921985815603;;;330804;330916;193760;330786;193720;;;;;;;;;
166;119297571;397658;171;397658,653061224;0,653061224496923;5;0,367375886524823;;;332809;332814;194880;332760;194840;;;;;;;;;
167;119934021;399780;21;399781,102040816;1,10204081627307;12;0,881702127659574;;;334814;334826;195920;334756;195880;;;;;;;;;
168;120568500;401895;0;401903,551020408;8,55102040816564;125;;;;336819;336944;196960;336804;196920;;;;;;;;;
169;121181978;403939;278;403944,367346939;5,3673469388159;70;;;;338824;338894;197960;338822;197920;;;;;;;;;
170;121819243;406064;43;406066,816326531;2,81632653065026;39;;;;340829;340868;199000;340802;198960;;;;;;;;;
171;122480250;408267;150;408270,897959184;3,89795918361051;48;;;;342834;342882;200080;342820;200040;;;;;;;;;
172;123140271;410467;171;410474,979591837;7,97959183674539;103;;;;344839;344942;201160;344802;201120;;;;;;;;;
173;123802435;412674;235;412679,06122449;5,06122448982205;58;;;;346844;346902;202240;346834;202200;;;;;;;;;
174;124489414;414964;214;414964,775510204;0,775510204082821;3;;;;348849;348852;203360;348792;203320;;;;;;;;;
175;125174464;417248;64;417250,489795918;2,48979591834359;38;;;;350854;350892;204480;350828;204440;;;;;;;;;
176;125859814;419532;214;419536,204081633;4,20408163266256;45;;;;352859;352904;205600;352844;205560;;;;;;;;;
177;126520821;421736;21;421740,285714286;4,28571428573923;54;;;;354864;354918;206680;354854;206640;;;;;;;;;
178;127207714;424025;214;424026;1;3;;;;356869;356872;207800;356814;207760;;;;;;;;;
179;127916550;426388;150;426393,346938776;5,34693877550308;62;;;;358874;358936;208960;358874;208920;;;;;;;;;
180;128627314;428757;214;428760,693877551;3,69387755100615;45;;;;360879;360924;210120;360858;210080;;;;;;;;;
181;129239378;430797;278;430801,510204082;4,51020408165641;56;;;;362884;362940;211120;362796;211080;;;;;;;;;
182;129875614;432918;214;432923,959183673;5,95918367349077;73;;;;364889;364962;212160;364888;212120;;;;;;;;;
183;130513264;435044;64;435046,408163265;2,40816326526692;38;;;;366894;366932;213200;366864;213160;;;;;;;;;
184;131150271;437167;171;437168,857142857;1,85714285710128;19;;;;368899;368918;214240;368850;214200;;;;;;;;;
185;131810293;439367;193;439372,93877551;5,93877551017795;74;;;;370904;370978;215320;370844;215280;;;;;;;;;
186;132472971;441576;171;441577,020408163;1,02040816331282;5;;;;372909;372914;216400;372846;216360;;;;;;;;;
187;133158407;443861;107;443862,734693878;1,73469387757359;22;;;;374914;374936;217520;374870;217480;;;;;;;;;
188;133819800;446066;0;446066,816326531;0,816326530650258;13;;;;376919;376932;218600;376868;218560;;;;;;;;;
189;134505278;448350;278;448352,530612245;2,53061224491103;28;;;;378924;378952;219720;378890;219680;;;;;;;;;
190;135165428;450551;128;450556,612244898;5,61224489792949;77;;;;380929;381006;220800;380874;220760;;;;;;;;;
191;135828193;452760;193;452760,693877551;0,693877551006153;4;;;;382934;382938;221880;382876;221840;;;;;;;;;
192;136537071;455123;171;455128,040816327;5,04081632656744;61;;;;384939;385000;223040;384870;223000;;;;;;;;;
193;137247964;457493;64;457495,387755102;2,38775510201231;38;;;;386944;386982;224200;386922;224160;;;;;;;;;
194;137957743;459859;43;459862,734693878;3,73469387757359;53;;;;388949;389002;225360;388946;225320;;;;;;;;;
195;138644207;462147;107;462148,448979592;1,44897959183436;22;;;;390954;390976;226480;390904;226440;;;;;;;;;
196;139278900;464263;0;464270,897959184;7,89795918366872;111;;;;392959;393070;227520;392928;227480;;;;;;;;;
197;139893450;466311;150;466311,714285714;0,714285714318976;6;;;;394964;394970;228520;394834;228480;;;;;;;;;
198;140554628;468515;128;468515,795918367;0,795918367337436;7;;;;396969;396976;229600;396916;229560;;;;;;;;;
199;141240493;470801;193;470801,510204082;0,510204081598204;4;;;;398974;398978;230720;398912;230680;;;;;;;;;
200;141925628;473085;128;473087,224489796;2,22448979597539;21;;;;400979;401000;231840;400938;231800;;;;;;;;;
