PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
699824 ; 348400 ; 699678 ; 348360 ; 349 
701844 ; 349440 ; 701706 ; 349400 ; 350 
703864 ; 350400 ; 703728 ; 350360 ; 351 
706014 ; 351440 ; 705710 ; 351400 ; 352 
707830 ; 352400 ; 707694 ; 352360 ; 353 
709800 ; 353360 ; 709496 ; 353320 ; 354 
711896 ; 354480 ; 711754 ; 354440 ; 355 
713870 ; 355440 ; 713738 ; 355400 ; 356 
715832 ; 356480 ; 715700 ; 356440 ; 357 
717856 ; 357440 ; 717716 ; 357400 ; 358 
719790 ; 358320 ; 719618 ; 358280 ; 359 
721796 ; 359120 ; 721458 ; 359080 ; 360 
723872 ; 360000 ; 723700 ; 359960 ; 361 
725914 ; 360880 ; 725740 ; 360840 ; 362 
727926 ; 361680 ; 727596 ; 361640 ; 363 
729882 ; 362560 ; 729720 ; 362520 ; 364 
731820 ; 363440 ; 731666 ; 363400 ; 365 
733876 ; 364320 ; 733720 ; 364280 ; 366 
735914 ; 365280 ; 735756 ; 365240 ; 367 
737956 ; 366160 ; 737634 ; 366120 ; 368 
739952 ; 367120 ; 739804 ; 367080 ; 369 
742090 ; 368080 ; 741770 ; 368040 ; 370 
743890 ; 368960 ; 743744 ; 368920 ; 371 
745842 ; 369920 ; 745694 ; 369880 ; 372 
747924 ; 370880 ; 747776 ; 370840 ; 373 
750158 ; 371920 ; 749838 ; 371880 ; 374 
751938 ; 372800 ; 751796 ; 372760 ; 375 
754090 ; 373840 ; 753776 ; 373800 ; 376 
755974 ; 374800 ; 755830 ; 374760 ; 377 
758022 ; 375760 ; 757714 ; 375720 ; 378 
759920 ; 376720 ; 759776 ; 376680 ; 379 
762026 ; 377680 ; 761706 ; 377640 ; 380 
764002 ; 378640 ; 763856 ; 378600 ; 381 
766092 ; 379600 ; 765772 ; 379560 ; 382 
767896 ; 380480 ; 767746 ; 380440 ; 383 
770106 ; 381520 ; 769790 ; 381480 ; 384 
772008 ; 382480 ; 771862 ; 382440 ; 385 
774074 ; 383440 ; 773762 ; 383400 ; 386 
